cstar_lo,cstar_hi,cstar_mid,alpha,beta,rmse,n
0.1,0.2,0.15000000000000002,2510.4577569466574,0.85,0.011619482881562735,12726
0.2,0.3,0.25,2188.8687640726494,0.85,0.014195556441153511,12905
0.3,0.4,0.35,2203.0247920904726,0.85,0.02072761020701801,12818
0.4,0.5,0.45,1947.3498622658465,0.85,0.02648173866627888,12881
0.5,0.6,0.55,1893.3185351645507,0.85,0.0329618977352826,13163
0.6,0.7,0.6499999999999999,1773.8890106897281,0.85,0.03871374264861225,12499
0.7,0.8,0.75,1488.8032350748501,0.85,0.04476778472274536,12442
0.8,0.9,0.8500000000000001,1329.9290718669513,0.85,0.05018029540301575,12056
0.9,1.01,0.9550000000000001,1339.7533917503777,0.85,0.05803238531730914,11209
